image,x1,y1,x2,y2
0,519.6112060546875,220.9794158935547,638.1346435546875,284.75128173828125
1,517.9568481445312,219.51278686523438,638.2052612304688,286.9659729003906
2,528.43115234375,216.2105712890625,638.5950927734375,285.78704833984375
3,526.50439453125,213.56253051757812,638.8062744140625,285.7436218261719
4,523.025390625,206.5891571044922,638.952880859375,285.02105712890625
5,518.646240234375,202.06375122070312,638.47607421875,285.3199768066406
6,508.4857177734375,189.17019653320312,638.894775390625,287.47723388671875
7,509.79150390625,185.31597900390625,638.8824462890625,287.79718017578125
8,512.6015014648438,180.98544311523438,638.8838500976562,286.46844482421875
9,516.9395751953125,175.318359375,639.0914306640625,284.39111328125
10,523.5458374023438,169.54702758789062,639.0640258789062,282.9224548339844
11,529.92431640625,176.91098022460938,639.323486328125,283.1629638671875
12,534.791015625,180.12710571289062,638.734619140625,283.8832092285156
13,538.0589599609375,177.87777709960938,638.2471923828125,283.5338439941406
14,546.6959838867188,175.83346557617188,638.2738647460938,281.9996643066406
15,547.7642822265625,175.56488037109375,638.4986572265625,282.14056396484375
16,547.521484375,172.25674438476562,638.4073486328125,282.1804504394531
17,545.8687744140625,168.80734252929688,638.5550537109375,282.7478332519531
18,541.982421875,168.02578735351562,638.48291015625,282.82025146484375
19,541.1510009765625,168.54202270507812,638.5709228515625,283.1487731933594
20,540.6673583984375,169.91464233398438,638.4227294921875,282.8167419433594
21,539.182373046875,172.67633056640625,638.4189453125,283.7373046875
22,537.3196411132812,174.57333374023438,637.8561401367188,285.0652770996094
23,536.5376586914062,173.59161376953125,638.0579223632812,285.708251953125
24,536.1339721679688,173.15768432617188,638.3015747070312,287.6546936035156
25,535.0025634765625,171.69854736328125,637.9976806640625,288.8902587890625
26,533.0546264648438,170.31365966796875,635.4890747070312,291.91119384765625
27,531.1365356445312,170.69683837890625,633.7588500976562,293.6053466796875
28,531.1220092773438,170.6033935546875,630.3272094726562,293.3306579589844
29,529.813232421875,171.96023559570312,629.5069580078125,294.4650573730469
30,526.3521118164062,176.060791015625,626.9125366210938,295.5185546875
31,524.7283325195312,176.94631958007812,624.4758911132812,296.3612365722656
32,523.2686767578125,180.44149780273438,622.7340087890625,296.721923828125
33,522.567626953125,179.896728515625,621.078125,296.66119384765625
34,518.998046875,176.77859497070312,613.945068359375,296.337890625
35,517.4466552734375,172.61868286132812,610.3397216796875,294.3630676269531
36,515.6661376953125,170.370361328125,607.3323974609375,293.5992431640625
37,512.2342529296875,168.36849975585938,606.0059814453125,293.59771728515625
38,504.4510498046875,165.82449340820312,605.0714111328125,292.1017150878906
39,502.97064208984375,166.4237060546875,604.7175903320312,291.2469482421875
40,500.62445068359375,165.42672729492188,604.5123901367188,289.9689025878906
41,497.1462707519531,165.9075927734375,604.645751953125,289.2405700683594
42,490.392822265625,164.53555297851562,605.6778564453125,289.6642761230469
43,488.0168151855469,164.43490600585938,605.796142578125,289.4346008300781
44,484.96612548828125,163.66506958007812,605.8110961914062,289.9491271972656
45,480.9915771484375,163.04153442382812,605.759521484375,289.91046142578125
46,474.16741943359375,163.7303466796875,604.4238891601562,288.2675476074219
47,469.75823974609375,163.50881958007812,607.2197875976562,290.42529296875
48,467.168212890625,164.29364013671875,607.396728515625,292.93341064453125
49,465.2295837402344,165.05145263671875,607.2745361328125,296.3058776855469
50,457.56781005859375,168.94070434570312,605.2578735351562,303.3742370605469
51,457.06146240234375,170.4732666015625,604.5094604492188,306.17535400390625
52,454.55633544921875,172.26101684570312,603.3766479492188,310.6933898925781
53,453.085693359375,176.5166778564453,602.1973876953125,314.46051025390625
54,449.6542663574219,181.16220092773438,598.637939453125,321.7292175292969
55,447.98687744140625,183.69241333007812,597.9871215820312,325.0527038574219
56,446.824951171875,185.87399291992188,597.901611328125,327.5995178222656
57,446.2688903808594,192.3202667236328,598.1068115234375,328.72186279296875
58,448.9440612792969,200.06219482421875,596.73193359375,330.7198486328125
59,447.25640869140625,203.95492553710938,595.8645629882812,332.6972961425781
60,444.1461181640625,210.72134399414062,594.4996337890625,335.0295715332031
