image,prev_x1,prev_y1,prev_x2,prev_y2,curr_x1,curr_y1,curr_x2,curr_y2,next_x1,next_y1,next_x2,next_y2
3.0,519.6112060546875,220.9794158935547,638.1346435546875,284.75128173828125,522.9128051757813,211.58775939941407,638.6071166992188,285.7675354003906,514.2728271484375,180.06740112304686,638.9633056640625,285.8112854003906
8.0,522.9128051757813,211.58775939941407,638.6071166992188,285.7675354003906,514.2728271484375,180.06740112304686,638.9633056640625,285.8112854003906,539.4469116210937,177.262841796875,638.6155639648438,282.9440490722656
13.0,514.2728271484375,180.06740112304686,638.9633056640625,285.8112854003906,539.4469116210937,177.262841796875,638.6155639648438,282.9440490722656,543.4382080078125,169.50930786132812,638.48779296875,282.74281005859376
18.0,539.4469116210937,177.262841796875,638.6155639648438,282.9440490722656,543.4382080078125,169.50930786132812,638.48779296875,282.74281005859376,536.8352416992187,173.139501953125,638.1264526367188,286.2111572265625
23.0,543.4382080078125,169.50930786132812,638.48779296875,282.74281005859376,536.8352416992187,173.139501953125,638.1264526367188,286.2111572265625,530.295703125,171.92698364257814,631.19892578125,293.766162109375
28.0,536.8352416992187,173.139501953125,638.1264526367188,286.2111572265625,530.295703125,171.92698364257814,631.19892578125,293.766162109375,521.4018676757812,177.33636474609375,618.5145629882812,296.0890625
33.0,530.295703125,171.92698364257814,631.19892578125,293.766162109375,521.4018676757812,177.33636474609375,618.5145629882812,296.0890625,507.189306640625,167.2827575683594,605.5279541015625,292.1029052734375
38.0,521.4018676757812,177.33636474609375,618.5145629882812,296.0890625,507.189306640625,167.2827575683594,605.5279541015625,292.1029052734375,488.3027221679688,164.31693115234376,605.5380737304688,289.6398071289062
43.0,507.189306640625,167.2827575683594,605.5279541015625,292.1029052734375,488.3027221679688,164.31693115234376,605.5380737304688,289.6398071289062,466.77825317382815,165.10499267578126,606.3145629882813,294.2612731933594
48.0,488.3027221679688,164.31693115234376,605.5380737304688,289.6398071289062,466.77825317382815,165.10499267578126,606.3145629882813,294.2612731933594,452.4689270019532,176.82111511230468,601.3417114257812,315.6222351074219
53.0,466.77825317382815,165.10499267578126,606.3145629882813,294.2612731933594,452.4689270019532,176.82111511230468,601.3417114257812,315.6222351074219,446.6880859375,198.5865447998047,596.6209106445312,330.9536193847656
